Year,Month,Falciparum,Vivax,Under5 ,Population,Pdensity,MeanMAX,HighestMAX,MeanMIN,LowestMIN,Rainfall,RainyDays,MeanSunshine
2017-2018,March,59,941,24,12307409,22642.2271690338,33.2667451615277,40.1334903230554,22.4487894620649,19.8665096769446,0,0,7.9
2018-2019,April,16,625,36,12307409,22642.2271690338,33.6978144087129,36.9779086025462,24.1621384943704,21.550975053352,0,0,9.3
2018-2019,May,19,839,63,12307409,22642.2271690338,34.2,35.0711163441019,26.8599529030834,24.2888365589815,0,0,8.9
2018-2019,June,39,1006,58,12307409,22642.2271690338,32.1978144087129,35.8689307528148,25.3599529030834,21.7199058061668,1444.4,15,3.8
2018-2019,July,90,2246,73,12307409,22642.2271690338,29.7266980646111,32.5667451615277,25.2266980646111,22.4310692471852,1844.7,23,0.8
2018-2019,August,163,2885,98,12307409,22642.2271690338,29.8266980646111,31.5555817205092,25.0844653764074,22.4310692471852,423.8,23,1.8
2018-2019,September,131,2279,116,12307409,22642.2271690338,31.3711163441019,32.9266980646111,24.6866509676945,22.7956288174259,132.6,8,6.2
2018-2019,October,193,2350,70,12307409,22642.2271690338,35.5822797851203,37.7689307528148,24.5466038707778,20.4888365589815,19.2,1,8.3
2018-2019,November,154,1039,64,12307409,22642.2271690338,35.0689307528148,37.4266980646111,22.5065567738612,19.950975053352,5.2,1,9
2018-2019,December,102,640,58,12307409,22642.2271690338,32.1844653764074,34.8577673117963,19.0953933328427,15.4354404297594,0,0,8.4
2018-2019,January,37,322,11,12266175,22566.3680182501,30.9689307528148,33.8133490323055,16.5953933328427,14.153160644639,0,0,9
2018-2019,February,18,323,41,12266175,22566.3680182501,31.0667451615277,35.6356759143425,18.0932077415557,12.328648171315,0,0,9.3
2018-2019,March,4,512,18,12266175,22566.3680182501,32.0378615056296,38.8558172050924,20.8776731179631,17.4419972036206,0,0,9.4
2019-2020,April,20,649,20,12266175,22566.3680182501,33.5978144087129,35.7800941938332,24.6043711825741,21.5776731179631,0,0,10.1
2019-2020,May,32,893,24,12266175,22566.3680182501,33.7711163441018,35.6533961292222,26.1733019353889,24.4310692471852,0,0,10.6
2019-2020,June,20,1043,35,12266175,22566.3680182501,33.4689307528148,36.0800941938333,26.8133490323055,22.8555817205092,853.4,14,5.8
2019-2020,July,76,1498,40,12266175,22566.3680182501,30.6822797851203,35.2179556994628,25.2266980646111,23,2549,28,2
2019-2020,August,108,2058,123,12266175,22566.3680182501,30.4711163441018,32.3555817205092,25.3422326882037,24,803.2,23,3.6
2019-2020,September,175,2445,93,12266175,22566.3680182501,30.0111634410185,32.924512473324,24.3689307528148,22.249024946648,1764.9,25,2.4
2019-2020,October,125,1685,53,12266175,22566.3680182501,32.5978144087129,36.5422326882037,24.3577673117963,22.7111634410185,182.8,8,5.8
2019-2020,November,99,898,50,12266175,22566.3680182501,33.5711163441019,34.9866509676945,23.3599529030834,21.0776731179631,128.3,3,7.9
2019-2020,December,89,497,42,12266175,22566.3680182501,32.6133490323055,35.0711163441019,21.7599529030834,17.150975053352,2.5,0,6.7
